REF_SITE_FROM_ID,REF_SITE_TO_ID,season,INJSVR,DOCTNMBR
1663328,1663329,spring,O,1
1663328,1663329,winter,C,1
1663328,1663329,winter,O,1
1666947,1667144,winter,O,1
1666498,1666947,fall,O,3
1666498,1666947,winter,B,1
1666498,1666947,winter,C,1
1666498,1666947,winter,O,1
1667783,1667771,spring,C,1
1667783,1667771,winter,O,1
1666485,1666480,spring,C,1
1666485,1666480,spring,O,2
1666485,1666480,summer,O,1
1666485,1666480,winter,O,2
1666490,1666494,fall,C,1
1666490,1666494,winter,O,2
1667949,1667503,spring,O,1
1666589,1666485,spring,O,1
1666589,1666485,summer,B,1
1664722,1664761,spring,O,1
1663075,1663632,winter,O,1
1664156,1663981,fall,C,1
1664156,1663981,spring,O,1
1663717,1663870,spring,C,1
1663717,1663870,winter,O,1
1663870,1664144,spring,O,1
1663687,1663689,summer,O,1
1663297,1663228,fall,O,3
1663297,1663228,summer,O,1
1663297,1663228,winter,O,2
1662582,1662460,summer,O,1
1662837,1662887,fall,O,1
1662837,1662887,summer,B,1
1661560,1661556,fall,C,1
1661560,1661556,winter,O,2
1662403,1662400,fall,O,1
1662403,1662400,spring,O,1
1662403,1662400,winter,O,2
1662400,1662395,fall,C,1
1666025,1666512,winter,C,1
1662235,1662321,spring,O,1
1662178,1662177,winter,O,1
1662120,1662079,summer,O,1
1662204,1662175,summer,O,1
1662303,1662429,fall,O,1
1662303,1662429,summer,O,1
1662303,1662429,winter,O,2
1662460,1662569,fall,O,1
1662460,1662569,spring,O,1
1662460,1662569,summer,O,2
1662460,1662569,winter,C,1
1662460,1662569,winter,O,1
1663212,1663215,fall,O,2
1663212,1663215,summer,B,1
1663212,1663215,summer,O,3
1663212,1663215,winter,C,1
1663212,1663215,winter,O,2
1662509,1662561,fall,O,1
1662803,1662945,summer,O,1
1662804,1662803,winter,O,1
1664052,1663998,summer,O,1
1662100,1662067,spring,O,1
1662155,1662074,spring,O,1
1662155,1662074,winter,O,1
1662357,1662463,summer,O,1
1662357,1662463,winter,B,1
1662372,1662357,summer,B,1
1662372,1662357,summer,O,1
1662372,1662357,winter,O,2
1662372,1662462,fall,B,1
1662372,1662462,fall,O,1
1662372,1662462,summer,O,1
1662813,1662784,fall,O,1
1662813,1662784,summer,O,1
1663293,1663344,fall,C,1
1663293,1663344,spring,C,2
1663293,1663344,spring,O,2
1663293,1663344,summer,O,2
1663293,1663344,winter,O,2
1663583,1663604,winter,O,2
1663710,1663604,winter,O,1
1663531,1663584,spring,O,1
1668103,1668551,spring,O,1
1662433,1662417,fall,O,1
1662433,1662417,winter,O,1
1661729,1662290,spring,O,1
1661729,1662290,winter,O,2
1661584,1662386,fall,O,1
1661584,1662386,spring,O,1
1661880,1661884,winter,O,2
1661884,1661887,winter,O,1
1661887,1661886,winter,O,2
1661946,1661908,fall,O,1
1662003,1661907,fall,O,1
1662003,1661907,summer,O,1
1662166,1662044,spring,C,1
1662252,1662165,spring,C,1
1662309,10503,winter,O,1
1662337,1662365,summer,B,1
1662303,1662217,fall,B,1
1662303,1662217,fall,O,4
1662303,1662217,spring,O,1
1662303,1662217,summer,C,1
1662303,1662217,summer,O,2
1662303,1662217,winter,B,1
1662303,1662217,winter,O,2
10523,1662349,fall,B,1
10523,1662349,fall,O,2
10523,1662349,spring,O,1
10523,1662349,winter,B,1
10523,1662349,winter,O,2
1662362,1662430,fall,O,1
1662416,1662303,fall,A,1
1662416,1662303,fall,O,1
1662416,1662303,spring,C,1
1662416,1662303,summer,B,1
1662416,1662303,summer,O,2
1662416,1662303,winter,O,1
1662460,1662439,fall,O,1
1662514,1662349,winter,O,1
1662751,1662704,spring,C,1
1662813,1662837,winter,O,1
1662837,1662843,spring,O,1
1662887,1662813,fall,O,1
1662887,1662813,summer,O,3
1662887,1662813,winter,O,3
1663059,1662887,fall,A,1
1663059,1662887,spring,B,1
1663059,1662887,summer,O,3
1663059,1662887,winter,C,1
1663079,1662945,fall,O,1
1663210,1663212,fall,O,1
1663210,1663212,spring,O,4
1663210,1663212,winter,O,1
1663139,1663203,spring,B,1
1663139,1663203,spring,C,2
1663228,1663216,winter,O,1
1663343,1662430,spring,O,1
1663343,1662430,summer,O,2
1663343,1662430,winter,O,2
1663203,1663291,fall,B,1
1663203,1663291,spring,O,1
1663203,1663291,summer,O,3
1663291,1663294,spring,C,1
1663291,1663294,spring,O,1
1663291,1663294,summer,O,1
1663291,1663294,winter,O,1
1663294,1663208,fall,C,1
1663294,1663208,winter,O,1
1663292,1663291,fall,O,1
1663292,1663291,summer,C,1
1663292,1663291,summer,O,6
1663293,1663292,fall,O,1
1663293,1663292,summer,B,1
1663299,1663294,fall,O,3
1663299,1663294,spring,O,2
1663299,1663294,summer,B,1
1663299,1663294,summer,O,2
1663299,1663294,winter,O,6
1663301,1663299,fall,O,3
1663301,1663299,spring,O,3
1663301,1663299,summer,O,2
1663301,1663299,winter,O,1
1663301,1663224,winter,O,1
1663314,1663301,fall,A,1
1663314,1663301,fall,C,4
1663314,1663301,fall,O,7
1663314,1663301,spring,A,1
1663314,1663301,spring,C,2
1663314,1663301,spring,O,2
1663314,1663301,summer,B,1
1663314,1663301,summer,C,2
1663314,1663301,summer,O,6
1663314,1663301,winter,C,1
1663314,1663301,winter,O,11
1663319,1663314,fall,A,1
1663319,1663314,fall,O,5
1663319,1663314,spring,B,1
1663319,1663314,spring,C,1
1663319,1663314,spring,O,3
1663319,1663314,summer,O,4
1663319,1663314,winter,C,1
1663319,1663314,winter,O,6
15381,1663319,fall,O,3
15381,1663319,spring,B,1
15381,1663319,spring,O,3
15381,1663319,summer,O,3
15381,1663319,winter,C,2
15381,1663319,winter,O,2
1663358,1663276,spring,O,1
1663358,1663276,summer,O,1
1663358,1663276,winter,O,2
1663352,1663059,fall,O,1
1663352,1663059,spring,O,1
1663352,1663059,summer,O,1
1663291,1663372,fall,C,1
1663291,1663372,fall,O,2
1663291,1663372,spring,C,1
1663291,1663372,summer,C,1
1663291,1663372,winter,C,1
1663291,1663372,winter,O,2
1663374,1663361,spring,O,1
1663374,1663361,winter,O,1
1663374,1663344,fall,O,2
1663374,1663344,spring,O,1
1663374,1663344,summer,O,2
1663374,1663344,winter,O,1
1663372,1663375,fall,O,1
1663372,1663375,winter,O,1
1663377,1663372,spring,C,1
1663377,1663372,spring,O,1
1663377,1663372,summer,O,1
1663377,1663372,winter,C,1
1663377,1663372,winter,O,2
1663383,1663377,fall,O,1
1663383,1663377,winter,C,1
1663383,1663301,fall,O,1
1663390,1663383,fall,A,1
1663390,1663383,fall,O,1
1663390,1663383,spring,O,5
1663390,1663383,summer,O,1
1663390,1663383,winter,O,1
1663395,1663390,spring,C,1
1663395,1663390,summer,O,7
1663395,1663390,winter,O,1
1663430,1663374,summer,O,2
1663430,1663374,winter,C,1
1663372,1663444,fall,O,1
1663372,1663444,spring,B,2
1663372,1663444,summer,C,1
1663372,1663444,summer,O,5
1663440,1663352,summer,O,1
1662365,1663549,winter,O,1
1663375,1663508,fall,O,1
1663375,1663508,spring,O,1
1663375,1663508,summer,O,2
1663375,1663508,winter,O,1
1663515,1663430,winter,O,2
1663498,1663563,spring,O,1
1663570,1663440,fall,C,1
1663570,1663440,fall,O,1
1663570,1663440,spring,C,1
1663570,1663440,spring,O,1
1663570,1663440,summer,O,1
1663444,1663581,fall,O,1
1663444,1663581,spring,O,1
1663444,1663581,summer,A,1
1663444,1663581,summer,C,2
1663444,1663581,summer,O,2
1663444,1663581,winter,B,1
1663444,1663581,winter,O,1
1663581,1663652,summer,O,1
1663661,1663515,fall,O,2
1663508,1663688,spring,B,1
1663508,1663688,summer,O,1
1663508,1663688,winter,O,1
1663722,1663688,summer,C,1
1663729,1663665,fall,O,2
1663851,1663729,fall,O,1
15377,1663851,spring,O,1
15377,1663851,summer,O,1
15377,1663851,winter,O,1
1663861,15378,fall,C,1
1663861,15378,fall,O,7
1663861,15378,spring,C,1
1663861,15378,spring,O,3
1663861,15378,summer,B,1
1663861,15378,summer,C,1
1663861,15378,summer,O,3
1663861,15378,winter,B,1
1663861,15378,winter,C,1
1663861,15378,winter,O,6
1663862,1663861,fall,O,8
1663862,1663861,spring,C,1
1663862,1663861,spring,O,6
1663862,1663861,summer,C,3
1663862,1663861,winter,C,2
1663862,1663861,winter,O,2
1663873,1663570,spring,B,1
1663873,1663570,summer,C,2
1663873,1663570,summer,O,1
1663873,1663570,winter,C,1
1663873,1663570,winter,O,2
1663919,1663851,fall,O,1
1663919,1663851,summer,O,1
1663916,1663844,spring,O,1
1663949,1663998,spring,O,1
1663949,1663998,winter,O,1
1664021,1664069,summer,O,1
1664147,1664009,winter,O,1
1664137,1664271,winter,O,1
1664359,1664190,summer,B,1
1664344,1664137,summer,O,1
1664414,1664378,summer,B,1
1664467,1664213,spring,O,2
1664467,1664213,summer,O,1
1664467,1664213,winter,O,1
1664738,1664487,winter,O,1
1665120,1665118,fall,B,1
1665735,1665120,summer,C,1
1665861,1665153,fall,O,2
1663992,1665861,fall,A,1
1663992,1665861,spring,O,1
1667518,1667037,fall,O,2
1667518,1667037,spring,B,1
1667518,1667037,summer,O,1
1667518,1667037,winter,O,1
1667774,1667144,spring,O,1
1667774,1667144,winter,O,1
1667899,1668103,winter,C,1
1668213,1667518,fall,O,1
1668213,1667518,spring,O,2
1668213,1667518,summer,O,1
1668213,1667518,winter,O,2
10523,1662510,fall,B,1
10523,1662510,fall,O,1
10523,1662510,summer,O,1
10523,1662510,winter,C,1
10523,1662510,winter,O,1
1662510,1662750,fall,C,1
1662510,1662750,fall,O,1
1662510,1662750,winter,O,1
1662750,1662946,fall,C,1
