DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,RDWY_LINK_ID,RDWY_LINK_OSET,LINK_HIST_FLAG
02L11S9LVQ,DT4000,1/12/2017,8,DANE,MIDDLETON,T,I,,,,,S HIGH POINT RD,,,,,TWINFLOWER DR,S,0.0708,43.0344691,-89.51825041,MVIT,ON,FTR,R TOWN,O,2,2,0,0,0,,,,,,,,,,,,,,,4858084,1086,
1KL06WD6N1,DT4000,1/13/2017,12,DANE,MIDDLETON,C,I,,,,,DISCOVERY DR,,,,,PARMENTER ST,,0,43.10239887,-89.51221872,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,Y,,,,,,,,5121375,1858,
1KL05S26N4,DT4000,1/13/2017,13,DANE,MIDDLETON,C,N,,,,,PARMENTER ST,,,,,CTH M,S,0.033,43.11105219,-89.50958016,MVIT,ON,FTS,U CITY,C,2,2,0,1,0,,,,,,,Y,,,,,,,,4848721,174,
1KL05BGSFG,DT4000,1/15/2017,15,DANE,MIDDLETON,C,N,,,,,MAPLE ST,,,,,COOPER AVE,N,0.0456,43.09191665,-89.49883068,PKVEH,ON,NO,U CITY,O,2,1,0,0,0,,,,,,,,,,,,,,Y,4820895,311,
1KL05BGSFF,DT4000,1/15/2017,17,DANE,MIDDLETON,C,I,,,,,CTH M,,,,,BRANCH ST,E,0.015,43.10423215,-89.49236277,MVIT,ON,SSO,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4819977,79,
1KL06WD6N2,DT4000,1/15/2017,20,DANE,MIDDLETON,C,N,14,USH,WB,,,,,,,PLEASANT VIEW RD,E,0.1188,43.09664735,-89.53248367,MVIT,ON,FTR,U STH,C,2,2,0,1,0,Y,,,,,,Y,,,,,,,,5314261,1259,
02L10DBC3K,DT4000,1/16/2017,10,DANE,CROSS PLAINS,T,N,,,,,CTH P,,,,,BOURBON RD,S,0.39,43.10552147,-89.64855504,FENCE,RTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,4841769,3109,
1KL06RP3B1,DT4000,1/16/2017,16,DANE,MIDDLETON,C,N,,,,,GREENWAY BLVD,,,,,JOHN Q HAMMONS DR,E,0.039,43.0901384,-89.52388226,MVIT,ON,SSS,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,Y,,4842406,206,
1KL0597RB3,DT4000,1/16/2017,20,DANE,MIDDLETON,C,I,,,,,CTH M,,,,,OLD CREEK RD,,0,43.10501432,-89.4953259,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4819969,845,
1KL05BGSFH,DT4000,1/16/2017,20,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,CROSSOVER USH 14,,0,43.09631223,-89.53482616,MVIT,ON,FTS,U STH,O,2,3,0,0,0,,,,,,,,,,,,,Y,Y,5488970,461,
02L0Z0C3BC,DT4000,1/16/2017,21,DANE,CROSS PLAINS,T,N,,,,,CTH P,,,,,STAGECOACH RD,S,0.0439,43.09647201,-89.65040693,UT PL,O ROW,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,4848831,6477,
02L0Z0C3B8,DT4000,1/16/2017,23,DANE,CROSS PLAINS,V,I,,,,,CTH P,,,,,THINNES ST W,E,0.1161,43.11853628,-89.63293463,OTH FX,ON,NO,R CITY,O,1,1,0,0,0,,,,,,,,,,,,,,,4840525,,
24L04BTWRC,DT4000,1/17/2017,6,DANE,CROSS PLAINS,V,I,,,,,CTH KP,,,,,BOURBON RD,,0,43.11246441,-89.66027797,PKVEH,RTSH,FTS,R CITY,O,2,1,0,0,0,,,,,Y,,,,,,,,,,4840844,422,
02L0Z6J8W1,DT4000,1/17/2017,8,DANE,CROSS PLAINS,T,N,,,,,CTH J,,,,,OLD MILITARY RD,S,0.27,43.0479356,-89.63092735,STRUCK,RTSH,SSO,R TOWN,O,2,1,1,0,0,,,,,,,,,,,,,,,4846576,4475,
02L0Z7RB03,DT4000,1/17/2017,8,DANE,CROSS PLAINS,T,N,,,,,CTH J,,,,,O.C. HARRIS RD PRIVATE,N,0.0409,43.0317688,-89.61693573,MVIT,LTSH,SSS,R TOWN,O,2,1,1,0,0,,,,,,,,,,,,Y,,,4852204,,
1KL0713B0C,DT4000,1/20/2017,9,DANE,MIDDLETON,C,I,,,,,CTH MS,,,,,AURORA ST,,0,43.09682598,-89.51277049,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,,4841812,317,
1KL072BC3G,DT4000,1/20/2017,21,DANE,MIDDLETON,C,PL,,,,,PLEASANT VIEW RD,,,,,FAIRWAY PL,N,0.2008,43.10606222,-89.5360159,PKVEH,PARK,SSS,U CITY,O,2,1,0,0,0,,,Y/D,,Y,,,,,,,,,,5036724,1060,
1KL05Z0C3D,DT4000,1/23/2017,9,DANE,MIDDLETON,C,N,,,,,CTH MS,,,,,PARK LAWN,W,0.0538,43.09699795,-89.50534271,MVIT,ON,OTHR,U CITY,O,2,5,0,0,0,,,,,,,,,,,,,,,4841792,339,
1KL05WRB05,DT4000,1/25/2017,5,DANE,MIDDLETON,C,N,12,USH,EB,,,,,,,RAMP USH 12 TO GREENWAY BLVD,,0,43.09409581,-89.51897051,MVIT,ON,FTF,U STH,O,3,3,0,0,0,,,,,,,,,,,,,,,5519747,3018,Y
