REF_SITE_FROM_ID,REF_SITE_TO_ID,spring,summer,fall,winter
1662085,1662042,0,0,0,0
1662176,1661793,0,0,0,0
1661969,1662085,0,0,0,0
1662121,10503,0,0,1,0
1661949,1662145,0,0,0,0
1662164,1662132,0,0,0,0
1662154,1662164,0,0,0,0
1662161,1662098,0,0,0,0
1662093,1662165,0,0,0,0
1662161,1662165,0,0,0,0
1662178,1662118,0,0,0,0
1662179,1662117,0,0,0,0
1662179,1662178,0,0,1,0
1662181,1662119,0,0,0,0
1662181,1662179,0,0,1,0
1662183,1662129,0,0,0,0
1662183,1662181,0,0,0,0
1662148,1662088,0,0,0,0
1662138,1662192,0,0,0,0
1662192,1662183,0,1,0,0
1662085,1662139,0,0,0,0
1662201,1662149,0,0,0,0
1662068,1662185,0,0,0,0
1662187,1662062,0,0,0,0
1662185,1662187,0,0,0,0
1662206,1662181,0,0,0,0
1662209,1662154,0,1,0,0
1662208,1662132,0,0,0,0
1662139,1662166,0,0,0,0
1662044,1662166,0,0,0,0
1662225,1662164,0,0,0,0
1662186,1662090,0,0,0,0
1662191,1662186,0,0,0,0
1662239,1662208,0,0,0,0
1662164,1662239,1,0,0,0
1662244,1662161,0,0,0,0
1662251,1662239,0,0,0,0
1662165,1662252,0,0,0,0
1662252,1662161,0,0,0,0
1662224,1662186,0,0,0,0
1662090,1662224,0,0,0,0
1662220,1662217,0,0,0,0
1662166,1662220,0,0,0,0
1662187,1662270,0,0,0,0
1662270,1662246,0,0,0,0
10503,1662309,0,0,0,0
1662185,1662281,0,0,0,0
1661833,1662337,0,0,0,0
1662337,1662176,0,0,0,0
1662320,1662309,0,0,0,0
1662227,1662254,0,0,0,0
1662224,1662254,0,0,0,0
1662259,1662224,0,0,0,0
1662230,1662259,0,0,0,0
1662281,1662313,0,0,0,0
1662314,1662305,0,0,0,0
1662314,1662241,0,0,0,0
1662351,1662320,0,0,0,0
1661743,1662385,0,0,0,0
1662365,1662337,0,0,0,0
1662291,1662276,0,0,0,0
1662242,1662291,0,0,0,0
1662293,1662291,0,0,0,0
1662238,1662293,0,0,0,0
1662254,1662293,0,0,0,0
1662353,1662244,0,0,1,0
1662324,1662314,0,0,1,0
1662281,1662324,0,0,0,0
1662343,1662187,0,0,0,0
1662343,1662270,0,0,0,0
1662362,1662351,0,0,0,0
1662230,1662308,0,0,0,0
1662217,1662303,0,0,0,0
1662349,10523,0,1,3,2
10523,1662358,0,2,3,2
1662382,1662381,0,1,0,1
1662386,1662382,0,0,1,0
1662388,1662386,0,0,1,0
1662290,1662407,3,1,0,2
1662409,1662343,0,0,0,1
1662409,1662411,0,0,0,0
1662324,1662410,0,0,0,0
1662411,1662410,0,0,0,0
1662406,1662342,0,0,0,1
1662406,1662404,0,0,0,0
1662404,1662403,0,0,0,0
1662430,1662362,0,0,0,0
1662358,1662394,1,1,1,0
1662303,1662416,5,3,1,2
1662416,1662220,0,0,1,0
1662482,1662252,1,0,0,1
1662459,1662388,0,0,0,0
1662459,1662466,0,0,0,0
1662358,1662453,0,0,0,0
1662416,1662439,0,0,2,1
1662429,1662440,0,0,0,0
1662457,1662453,0,0,0,0
1662399,1662465,0,0,0,0
1662394,1662465,0,2,0,0
1662439,1662460,0,1,0,0
1662460,1662437,0,0,0,0
1662503,1662459,0,0,0,0
1662503,1662427,0,0,0,0
1662528,1662513,0,0,0,0
1662440,1662486,0,0,0,0
1662465,1662506,0,0,0,0
1662457,1662506,0,0,0,0
1662351,1662555,0,0,0,0
1662465,1662509,6,2,4,0
1662510,1662514,1,5,1,0
1662349,1662514,0,0,1,0
1662512,1662457,0,0,0,0
1662362,1662565,0,0,0,1
1662555,1662565,0,0,0,0
1662382,1662534,0,0,0,0
1662534,1662432,0,0,0,0
1662556,1662503,0,0,0,0
