road,loopNum
intersection_245,l28
intersection_245,l48
intersection_245,l49
intersection_245,l51
intersection_245,l52
intersection_245,l62
intersection_245,l64
intersection_245,l85
intersection_245,l89
intersection_246,l17
intersection_246,l20
intersection_246,l27
intersection_246,l31
intersection_246,l32
intersection_246,l47
intersection_246,l60
intersection_246,l63
intersection_246,l82
intersection_246,l83
intersection_246,l84
intersection_247,l3
intersection_247,l5
intersection_247,l6
intersection_247,l7
intersection_247,l19
intersection_247,l29
intersection_247,l30
intersection_247,l50
intersection_247,l53
intersection_247,l81
intersection_247,l86
intersection_248,l4
intersection_248,l11
intersection_248,l18
intersection_248,l23
intersection_248,l24
intersection_248,l25
intersection_248,l46
intersection_248,l79
intersection_253,l170
intersection_253,l360
intersection_253,l368
intersection_253,l371
intersection_253,l375
intersection_253,l395
intersection_283,l1
intersection_283,l2
intersection_283,l8
intersection_283,l9
intersection_283,l10
intersection_283,l12
intersection_283,l13
intersection_283,l15
intersection_283,l16
intersection_283,l22
intersection_283,l26
intersection_283,l36
intersection_283,l37
intersection_283,l38
intersection_283,l59
intersection_283,l61
intersection_283,l65
intersection_283,l66
intersection_283,l68
intersection_283,l88
intersection_283,l90
intersection_283,l91
intersection_283,l92
intersection_283,l93
intersection_283,l94
intersection_283,l95
intersection_283,l96
intersection_283,l99
intersection_283,l100
intersection_283,l107
intersection_283,l108
intersection_283,l112
intersection_283,l113
intersection_283,l114
intersection_283,l116
intersection_283,l119
intersection_283,l131
intersection_283,l134
intersection_283,l135
intersection_283,l136
intersection_283,l138
intersection_283,l140
intersection_283,l197
intersection_283,l198
intersection_283,l199
intersection_283,l200
intersection_283,l201
intersection_286,l209
intersection_286,l210
intersection_286,l216
intersection_286,l218
intersection_286,l219
intersection_286,l224
intersection_286,l225
intersection_286,l230
intersection_286,l231
intersection_286,l232
intersection_319,l344
intersection_319,l345
intersection_319,l369
intersection_319,l372
intersection_319,l373
intersection_319,l374
intersection_319,l378
intersection_319,l379
intersection_319,l380
intersection_319,l382
intersection_319,l384
intersection_319,l385
intersection_319,l386
intersection_319,l390
intersection_319,l392
intersection_319,l398
intersection_319,l400
intersection_319,l402
intersection_319,l403
intersection_319,l404
intersection_319,l407
intersection_319,l409
intersection_319,l412
intersection_319,l413
intersection_319,l415
intersection_319,l417
intersection_319,l418
intersection_319,l420
intersection_319,l423
intersection_319,l426
intersection_319,l430
intersection_319,l432
intersection_319,l433
intersection_319,l434
intersection_319,l435
intersection_319,l436
intersection_319,l440
intersection_319,l443
intersection_319,l444
intersection_319,l445
intersection_319,l446
intersection_319,l448
intersection_319,l449
intersection_319,l456
intersection_319,l457
intersection_319,l458
