DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,WISLR_LINKID,WISLR_LKOFFSET,WISLR_LK_HIST_FLAG,ONHWYSYS,POSTSPD1
1KL05WRB2X,DT4000,1/11/2019,21,DANE,MIDDLETON,C,PL,,,,,BRISTOL ST,,,,,NORTH AVE,N,0.0254,43.0996033,-89.50652147,PKVEH,PARK,NO,U CITY,O,2,1,0,0,0,UNKN,,,,,,,UNKN,,,,,,,4820257,862,,,
1KL07TS27D,DT4000,1/12/2019,9,DANE,MIDDLETON,C,I,Q,CTH,NB,,ALLEN BLVD,M,CTH,EB,,CENTURY AVE,,0,43.10456008,-89.48684859,MVIT,ON,FTR,U CITY,C,2,3,0,1,0,,,,,,,Y,,,,,,,,4820033,0,,CTH,35
24L08G9LVR,DT4000,1/13/2019,12,DANE,CROSS PLAINS,V,N,,,,,BREWERY RD,14,USH,WB,,,N,0.0409,43.11053327,-89.64063306,MVIT,ON,FTR,R CITY,O,2,4,0,0,0,,,,,,,Y,,,,,,,Y,4819572,216,,,25
24L08G9LVS,DT4000,1/13/2019,13,DANE,CROSS PLAINS,V,I,14,USH,EB,,,P,CTH,SB,,CHURCH ST,W,0.0083,43.1114541,-89.64526264,MVIT,ON,FTR,R STH,O,2,2,0,0,0,,,,,,,Y,,,,,,,Y,5372931,197,,USH,30
1KL06SX4JV,DT4000,1/15/2019,12,DANE,MIDDLETON,C,I,,,,,CAYUGA ST,14,USH,EB,,,S,0.0436,43.09671941,-89.51412231,TFSIGN,ON,NO,U CITY,O,1,1,0,0,0,UNKN,,,,Y,,Y,UNKN,,,,Y,,,4885655,294,,,30
1KL07W13BK,DT4000,1/16/2019,14,DANE,MIDDLETON,C,I,14,USH,WB,,,,,,,DEMING WAY,N,0.0044,43.09682231,-89.52353843,MVIT,ON,SSO,U STH,O,2,3,0,0,0,,,,,,,,,,,,,,Y,5314277,72,,USH,30
02L0ZFXHPP,DT4000,1/17/2019,6,DANE,CROSS PLAINS,T,N,,,,,PINE HILL RD,P,CTH,WB,,,E,1.01,43.07179631,-89.64060087,DITCH,LTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,4822550,1333,,,55
1KL07SK148,DT4000,1/17/2019,20,DANE,MIDDLETON,C,I,M,CTH,WB,,CENTURY AVE,,,,,FRANK LLOYD WRIGHT AVE,N,0.0153,43.10657121,-89.49848032,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,Y,,,,,,,,4819837,1237,,CTH,30
1KL07RB006,DT4000,1/18/2019,15,DANE,MIDDLETON,C,I,,,,,GREENBRIAR RD,,,,,HIGH RD,W,0.0165,43.12620915,-89.50184528,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,Y,Y,4829334,500,,,25
1KL07SK149,DT4000,1/18/2019,16,DANE,MIDDLETON,C,I,,,,,GREENBRIAR RD,,,,,HIGH RD,W,0.0161,43.12620919,-89.50183758,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4829334,502,,,30
