intersection_118,1662280_3,1662280_1
intersection_119,1662280_3,1662280_2
intersection_120,1662280_2,1662280_4
intersection_121,1662280_2,1662280_1
intersection_122,1662280_2,1662280_3
intersection_123,1665100_1,1665100_3
intersection_124,1665100_1,1665100_2
intersection_125,1665100_2,1665100_3
intersection_126,1665100_2,1665100_1
intersection_127,1665100_3,1665100_1
intersection_128,1665100_3,1665100_2
intersection_129,2052315_2,2052315_1
intersection_130,2052315_1,2052315_2
intersection_131,1665118_3,1665118_1
intersection_132,1665118_3,1665118_2
intersection_133,1665118_1,1665118_2
intersection_134,1665118_1,1665118_3
intersection_135,1665118_2,1665118_1
intersection_136,1665118_2,1665118_3
intersection_137,1661966_2,1661966_1
intersection_138,1661966_2,1661966_4
intersection_139,1661966_2,1661966_3
intersection_140,1661966_1,1661966_2
intersection_141,1661966_1,1661966_4
intersection_142,1661966_1,1661966_3
intersection_143,1661966_4,1661966_2
intersection_144,1661966_4,1661966_1
intersection_145,1661966_4,1661966_3
intersection_146,1661966_3,1661966_2
intersection_147,1661966_3,1661966_1
intersection_148,1661966_3,1661966_4
intersection_149,2005104_1,2005104_3
intersection_150,2005104_1,2005104_2
intersection_151,2005104_3,2005104_1
intersection_152,2005104_3,2005104_2
intersection_153,2005104_2,2005104_1
intersection_154,2005104_2,2005104_3
intersection_155,1663012_1,1663012_2
intersection_156,1663012_1,1663012_4
intersection_157,1663012_1,1663012_3
intersection_158,1663012_3,1663012_2
intersection_159,1663012_3,1663012_4
intersection_160,1663012_3,1663012_1
intersection_161,1663012_2,1663012_4
intersection_162,1663012_2,1663012_1
intersection_163,1663012_2,1663012_3
intersection_164,1663012_4,1663012_2
intersection_165,1663012_4,1663012_1
intersection_166,1663012_4,1663012_3
intersection_167,2204561_2,2204561_3
intersection_168,2204561_2,2204561_1
intersection_169,2204561_3,2204561_2
intersection_170,2204561_3,2204561_1
intersection_171,2204561_1,2204561_3
intersection_172,2204561_1,2204561_2
intersection_173,1662088_3,1662088_4
intersection_174,1662088_3,1662088_1
intersection_175,1662088_3,1662088_2
intersection_176,1662088_2,1662088_4
intersection_177,1662088_2,1662088_1
intersection_178,1662088_2,1662088_3
intersection_179,1662088_4,1662088_1
intersection_180,1662088_4,1662088_3
intersection_181,1662088_4,1662088_2
intersection_182,1662088_1,1662088_4
intersection_183,1662088_1,1662088_3
intersection_184,1662088_1,1662088_2
intersection_185,1662381_2,1662381_3
intersection_186,1662381_2,1662381_1
intersection_187,1662381_3,1662381_2
intersection_188,1662381_3,1662381_1
intersection_189,1662381_1,1662381_3
intersection_190,1662381_1,1662381_2
intersection_191,2182527_1,2182527_3
intersection_192,2182527_2,2182527_3
intersection_193,1662752_3,1662752_2
intersection_194,1662752_3,1662752_1
intersection_195,1662752_2,1662752_1
intersection_196,1662752_2,1662752_3
intersection_197,1662752_1,1662752_2
intersection_198,1662752_1,1662752_3
intersection_199,1662224_2,1662224_4
