,FROM,TO,CRASH
356,1663212,1663210,0
357,1663203,1663139,0
358,1663203,1663208,2
359,1663144,1663208,2
360,1663143,1663207,0
361,1663208,1663218,0
362,1663149,1663218,1
363,1663218,1663224,1
364,1663160,1663224,1
365,1663162,1663216,0
366,1663216,1663207,1
367,1663224,1663227,0
368,1663227,1663160,0
369,1663227,1663229,0
370,1663229,1663164,0
371,1663228,1663072,2
372,1663216,1663228,0
373,10668,1663062,0
374,1662430,1663343,0
375,1663291,1663203,0
376,1663294,1663291,15
377,1663208,1663294,1
378,1663291,1663292,9
379,1663292,1663293,0
380,1663294,1663299,0
381,1663218,1663299,0
382,1663299,1663301,0
383,1663224,1663301,0
384,1663366,10668,1
385,1663301,1663314,0
386,1663314,1663229,11
387,1663314,1663319,0
388,1663319,15381,0
389,1663276,1663358,3
390,1663059,1663352,3
391,1663351,1663352,6
392,1663361,1663351,0
393,1663352,1663355,1
394,1663378,1663308,0
395,1663372,1663291,0
396,1663361,1663374,0
397,1663344,1663374,7
398,1663375,1663292,2
399,1663375,1663372,0
400,1663372,1663377,0
401,1663299,1663377,4
402,1663377,1663383,0
403,1663301,1663383,0
404,1663383,1663390,0
405,1663390,1663314,4
406,1663390,1663395,0
407,1663319,1663395,4
408,1663422,1663390,1
409,1663395,1663422,2
410,1663374,1663430,4
411,1663438,1663361,1
412,1663439,1663351,0
413,1663439,1663438,0
414,1663444,1663372,0
415,1663352,1663440,0
416,1663440,1663439,0
417,1663444,1663446,0
418,1663450,1663444,0
419,1663449,1663375,0
420,1663446,1663449,1
421,1663452,1663450,1
422,1663377,1663452,0
423,1663383,1663455,0
424,1663422,1663455,9
425,1663455,1663452,0
426,1663549,1662365,0
427,1663449,1663472,0
428,1663507,1663422,2
429,1663498,1663507,0
430,1663510,1663498,5
431,1663355,1663492,0
432,1663430,1663508,0
433,1663508,1663375,0
434,1663438,1663515,1
435,1663430,1663515,1
436,1663508,1663553,1
437,1663472,1663553,0
438,1663563,1663498,0
439,1663440,1663570,0
440,1663578,1663449,0
441,1663577,1663472,0
442,1663578,1663577,1
443,1663579,1663578,0
444,1663446,1663579,0
445,1663581,1663579,0
446,1663581,1663444,0
447,1663584,1663581,3
448,1663587,1663584,0
449,1663590,1663587,3
450,1663601,1663507,1
451,1663601,1663590,0
452,1663553,1663603,0
453,1663577,1663603,0
454,1663489,1663611,0
455,1663603,1663647,0
456,1663652,1663581,0
457,1663510,1663665,2
458,1663603,1663663,0
459,1663663,1663640,0
460,1663515,1663661,1
461,1663668,1663601,0
462,1663665,1663678,0
463,1663675,1663578,0
464,1663675,1663652,0
465,1663688,1663508,0
466,1663569,1663739,1
467,1663688,1663722,0
468,1663553,1663722,0
469,1663665,1663729,0
470,1663663,1663737,2
471,1663737,1663675,1
472,1663729,1663759,0
473,1663722,1663745,0
474,1663647,1663745,0
475,1663721,1663762,0
476,1663777,1663741,0
477,1663777,1663685,0
478,1663793,1663647,0
479,1663793,1663737,0
480,1663836,1663794,0
481,1663836,1663739,0
482,1663745,1663815,0
483,1663818,1663652,1
484,1663830,1663777,1
485,1663762,1663830,0
486,1663823,1663736,0
487,1663837,1663793,0
488,1663729,1663851,0
489,1663843,1663823,0
490,1663843,1663688,0
491,1663851,15377,0
492,1663850,1663844,0
493,1663755,1663850,0
494,1663815,1663837,0
495,1663888,1663836,0
496,15378,1663861,0
497,1663722,1663843,0
498,1663861,1663862,0
499,1663863,1663850,0
500,1663866,1663863,0
501,1663830,1663866,0
502,1663921,1663366,1
503,1663745,1663876,0
504,1663570,1663873,6
505,1663860,1663836,0
506,1663903,1663843,0
507,1663851,1663919,0
508,1663844,1663916,0
509,10698,1663943,1
510,1663943,1663938,0
511,1663549,1663992,1
512,1663916,1663949,0
513,1663949,1663926,0
514,1663972,1663819,0
515,1663919,1663972,0
516,1663968,1663818,2
517,1663981,1663862,4
518,1663980,1663830,1
519,1663983,1663968,0
520,1663998,1663949,0
521,1663998,1663980,0
522,1664002,1663980,0
523,1664009,1664002,0
524,1663972,1664009,2
525,1664019,1663861,8
526,1663981,1664019,0
527,1664013,1663818,5
528,1664021,1664013,2
529,1663973,1664021,0
530,1664017,1663903,0
531,1664025,1663983,0
532,1664017,1664038,0
533,1664038,1664051,1
534,1664026,1664051,0
535,1664065,1664002,0
536,1664069,1664021,0
537,1663968,1664064,0
538,1664051,1664063,0
539,1664032,1664063,0
540,1663983,1664078,0
541,1664062,1664082,0
542,1664038,1664079,0
543,1664167,1663549,0
544,1664174,1664167,0
545,1664125,1664122,0
546,1664064,1664126,0
547,1664126,1664114,0
548,1664063,1664137,0
549,1664137,1664082,0
550,1664082,1664025,0
551,1664009,1664147,0
552,1664148,1664125,0
553,1664128,1664148,0
554,1664157,1664125,0
555,1664093,1664159,0
556,1664159,1664122,1
557,1664121,1664155,0
558,1664064,1664155,0
559,1664163,1664126,0
560,1664051,1664165,0
561,1663916,1664185,0
562,1664147,1664190,0
563,1664155,1664199,0
564,1664208,1664159,0
565,1664204,1664163,0
566,1664159,1664228,0
567,1664237,1664148,0
568,1664170,1664247,0
569,1664190,1664247,1
570,1664247,1664237,0
571,1664248,1664163,0
572,1664148,1664256,0
573,1664255,1664013,0
574,1664266,1664248,0
575,1664271,1664137,0
576,1664155,1664271,0
577,1664291,1664237,0
578,1664247,1664295,0
579,1664271,1664290,2
580,1664290,1664248,0
581,1664328,1664255,4
582,1664344,1664301,0
583,1664344,1664271,0
584,1664290,1664349,0
585,1664190,1664359,0
586,1664355,1664290,0
587,1664349,1664378,0
588,1664328,1664378,0
589,1664355,1664391,0
590,1664137,1664344,0
591,1664378,1664414,0
592,1663739,1664487,4
593,1664213,1664467,0
594,1663943,1664489,3
595,1664486,1664294,0
596,1664487,1664202,0
597,1664482,1664355,1
598,1664202,1664609,0
599,1664174,1664709,0
600,1664487,1664738,0
601,1664738,1664742,0
602,1664797,1664605,0
