WISLR_LINKID,functional_class
5126002,Urban Local
5126003,Urban Local
5126004,Urban Local
5126005,Urban Local
5126006,Urban Local
5126007,Urban Local
5126008,Urban Local
5126009,Urban Local
5127879,Urban Local
5127880,Urban Local
5132822,Urban Local
5132823,Urban Local
5132846,Urban Local
5132847,Urban Local
5132862,Urban Local
5132863,Urban Local
5132960,Urban Local
5132961,Urban Local
5132982,Urban Local
5132983,Urban Local
5133006,Urban Local
5133007,Urban Local
5133008,Urban Local
5133009,Urban Local
5133010,Urban Local
5133011,Urban Local
5133012,Urban Local
5133013,Urban Local
5133014,Urban Collector
5133015,Urban Collector
5133016,Urban Collector
5133017,Urban Collector
5134897,Urban Collector
5134898,Urban Collector
5139942,Urban Local
5139943,Urban Local
5139946,Urban Local
5139947,Urban Local
5139948,Urban Minor Arterial
5139949,Urban Minor Arterial
5139950,Urban Local
5139951,Urban Local
5139972,Urban Local
5139973,Urban Local
5140022,Urban Local
5140023,Urban Local
5140104,Urban Local
5140105,Urban Local
5140106,Urban Local
5140107,Urban Local
5140122,Urban Local
5140123,Urban Local
5140124,Urban Local
5140125,Urban Local
5140202,Rural Local
5140203,Rural Local
5140208,Rural Local
5140209,Rural Local
5143282,Urban Local
5143283,Urban Local
5143284,Urban Local
5143285,Urban Local
5143286,Urban Local
5143287,Urban Local
5147024,Urban Minor Arterial
5147025,Urban Minor Arterial
5147026,Urban Minor Arterial
5147027,Urban Minor Arterial
5147262,Urban Local
5147263,Urban Local
5147264,Urban Local
5147265,Urban Local
5147268,Urban Local
5147269,Urban Local
5147882,Urban Local
5147883,Urban Local
5147884,Urban Local
5147885,Urban Local
5147886,Urban Local
5147887,Urban Local
5147888,Urban Local
5147889,Urban Local
5154964,Urban Local
5154965,Urban Local
5154966,Urban Local
5154967,Urban Local
5154970,Urban Local
5154971,Urban Local
5155064,Urban Local
5155065,Urban Local
5157141,Urban Local
5157142,Urban Local
5157272,Rural Local
5157273,Rural Local
5157275,Rural Local
5157276,Rural Local
5167702,Urban Local
5167703,Urban Local
5168282,Urban Local
5168283,Urban Local
5168284,Urban Local
5168285,Urban Local
5168286,Urban Local
5168287,Urban Local
5168288,Urban Local
5168289,Urban Local
5173492,Urban Local
5173493,Urban Local
5188626,Rural Local
5188627,Rural Local
5188628,Rural Local
5188629,Rural Local
5188630,Rural Local
5188631,Rural Local
5188634,Urban Local
5188635,Urban Local
5190926,Urban Local
5190927,Urban Local
5208042,Urban Local
5208043,Urban Local
5208044,Urban Local
5208045,Urban Local
5208048,Urban Local
5208049,Urban Local
5230092,Urban Local
5230093,Urban Local
5230114,Urban Local
5230115,Urban Local
5230178,Urban Local
5230179,Urban Local
5230222,Urban Local
5230223,Urban Local
5232817,Urban Local
5232818,Urban Local
5237338,Urban Local
5237339,Urban Local
5237342,Urban Local
5237343,Urban Local
5238472,Urban Local
5238473,Urban Local
5238492,Urban Local
5238493,Urban Local
5238512,Urban Local
5238513,Urban Local
5250437,Urban Local
5250438,Urban Local
5250457,Urban Local
5250458,Urban Local
5252999,Urban Local
5253000,Urban Local
5253083,Urban Local
5253084,Urban Local
5253101,Urban Local
5253102,Urban Local
5253199,Urban Minor Arterial
5253200,Urban Minor Arterial
5253201,Urban Minor Arterial
5253202,Urban Minor Arterial
5256997,Urban Collector
5256998,Urban Collector
5259181,Urban Local
5259182,Urban Local
5259183,Urban Local
5259184,Urban Local
5259557,Urban Local
5259558,Urban Local
5259561,Urban Local
5259562,Urban Local
5259563,Urban Local
5259564,Urban Local
5259579,Urban Local
5259580,Urban Local
5259597,Urban Local
5259598,Urban Local
5259599,Urban Local
5259600,Urban Local
5260977,Urban Local
5260978,Urban Local
5260979,Urban Local
5260980,Urban Local
5260981,Urban Local
5260982,Urban Local
5260983,Urban Local
5260984,Urban Local
5284157,Rural Local
5284158,Rural Local
5284159,Rural Local
5284160,Rural Local
5285741,Urban Local
5285742,Urban Local
5285757,Urban Local
5285758,Urban Local
5285759,Urban Local
5285760,Urban Local
5285777,Urban Local
5285778,Urban Local
5285779,Urban Local
5285780,Urban Local
5285781,Urban Local
5285782,Urban Local
5285837,Urban Local
5285838,Urban Local
5285857,Urban Local
5285858,Urban Local
5285897,Urban Collector
5285898,Urban Collector
5285899,Urban Collector
5285900,Urban Collector
5285917,Urban Local
5285918,Urban Local
5286198,Urban Local
5297655,Urban Local
5297656,Urban Local
5297657,Urban Local
5297658,Urban Local
5297659,Urban Local
5297660,Urban Local
5297661,Urban Local
5297662,Urban Local
5297664,Urban Local
5297665,Urban Local
5297666,Urban Local
5297667,Urban Local
5297668,Urban Local
5297669,Urban Local
5297690,Urban Local
5297691,Urban Local
5313813,Urban Local
5313814,Urban Local
5313819,Urban Local
5313820,Urban Local
5313824,Urban Local
5313825,Urban Local
5313827,Urban Local
5313828,Urban Local
5313831,Urban Local
5313832,Urban Local
5314060,Urban Local
5314061,Urban Local
5314065,Urban Local
5314066,Urban Local
5314080,Urban Local
5314081,Urban Local
5314157,Urban Local
5314158,Urban Local
5314163,Urban Local
5314164,Urban Local
5314179,Rural Local
5314180,Rural Local
5314181,Rural Local
5314182,Rural Local
5314201,Rural Local
5314202,Rural Local
5314203,Rural Local
5314204,Rural Local
5314206,Rural Local
5314207,Rural Local
5314238,Rural Local
5314239,Rural Local
5314261,Rural Local
5314277,Rural Local
5314278,Rural Local
5314295,Rural Local
5314296,Rural Local
5314337,Rural Local
5314338,Rural Local
5314540,Rural Local
5314545,Rural Local
5314617,Rural Local
5314627,Rural Local
5314647,Rural Local
5314677,Rural Local
5314701,Rural Local
5314731,Rural Local
5314757,Rural Local
5314766,Rural Local
5314771,Rural Local
5321246,Rural Local
5321249,Rural Local
5321324,Rural Local
5321334,Rural Local
5321339,Rural Local
5321342,Rural Local
5323329,Rural Local
5323330,Rural Local
5341804,Urban Local
5341805,Urban Local
5346161,Urban Local
5346162,Urban Local
5346163,Urban Local
5346164,Urban Local
5355363,Urban Other Connecting Link Principal Arterial
5355364,Urban Other Connecting Link Principal Arterial
5355365,Urban Other Connecting Link Principal Arterial
5355366,Urban Other Connecting Link Principal Arterial
5355377,Urban Local
5355378,Urban Local
5355379,Urban Local
5355380,Urban Local
5355381,Urban Local
5355382,Urban Local
5355385,Rural Local
5355386,Rural Local
5355387,Rural Local
5355388,Rural Local
5355391,Rural Local
5355392,Rural Local
5355394,Urban Collector
5355395,Urban Collector
5355397,Rural Local
5355398,Rural Local
5366459,Urban Local
5366460,Urban Local
5366461,Urban Local
5366462,Urban Local
5366469,Urban Local
5366470,Urban Local
5371249,Urban Local
5371250,Urban Local
5371257,Urban Local
5371258,Urban Local
5371259,Rural Local
5371260,Rural Local
5371950,Urban Local
5371951,Urban Local
5371952,Urban Local
5371953,Urban Local
5371989,Urban Local
5371990,Urban Local
5372925,Urban Minor Arterial
5372926,Urban Minor Arterial
5372931,Urban Local
5372932,Urban Local
5372933,Urban Minor Arterial
5372934,Urban Minor Arterial
5374178,Urban Minor Arterial
5374179,Urban Minor Arterial
5374184,Urban Minor Arterial
5374185,Urban Minor Arterial
5414617,Urban Local
5414618,Urban Local
5422167,Urban Local
5422168,Urban Local
5422169,Urban Local
5422170,Urban Local
5422171,Urban Local
5422172,Urban Local
5422277,Urban Minor Arterial
5422278,Urban Minor Arterial
5422279,Urban Minor Arterial
5422280,Urban Minor Arterial
5445871,Urban Local
5445872,Urban Local
5445981,Urban Local
5445984,Urban Local
5445987,Urban Local
5445988,Urban Local
5446017,Urban Local
5446018,Urban Local
5446019,Urban Local
5446020,Urban Local
5446077,Urban Collector
5446078,Urban Collector
5446079,Urban Collector
5446080,Urban Collector
5446081,Rural Local
5446082,Rural Local
5446083,Rural Local
5446084,Rural Local
5446085,Rural Local
5446086,Rural Local
5449871,Urban Local
5449874,Urban Local
5449882,Urban Local
5449883,Urban Local
5449885,Urban Local
5449886,Urban Local
5449887,Urban Local
5449888,Urban Local
5449890,Urban Local
5449891,Urban Local
5449892,Urban Local
5449893,Urban Local
5449894,Urban Local
5449895,Urban Local
5450287,Urban Local
5450288,Urban Local
5450289,Urban Local
5450290,Urban Local
5450317,Urban Local
5450318,Urban Local
5450319,Urban Local
5450320,Urban Local
5451777,Urban Local
5451778,Urban Local
5451779,Urban Local
5451780,Urban Local
5453397,Urban Local
5453398,Urban Local
5454897,Urban Local
5454898,Urban Local
5454901,Urban Local
5454902,Urban Local
5455081,Rural Local
5455082,Rural Local
5455233,Urban Local
5455234,Urban Local
5455235,Urban Local
5455236,Urban Local
5455237,Rural Local
5455238,Urban Local
5455239,Rural Local
5455240,Rural Local
5486465,Urban Other Connecting Link Principal Arterial
5486466,Urban Other Connecting Link Principal Arterial
5488958,Rural Local
5488959,Rural Local
5488961,Rural Local
5488962,Rural Local
5488963,Rural Local
5488964,Rural Local
5488965,Rural Local
5488966,Rural Local
5488967,Rural Local
5488968,Rural Local
5488969,Rural Local
5488970,Rural Local
5488971,Rural Local
5488972,Rural Local
5488973,Rural Local
5488974,Rural Local
5497019,Urban Local
5497020,Urban Local
5497021,Rural Local
5497024,Rural Local
5497025,Rural Local
5497026,Rural Local
5500199,Urban Other Connecting Link Principal Arterial
5500202,Urban Other Connecting Link Principal Arterial
5503899,Urban Collector
5503900,Urban Collector
5503901,Urban Collector
5503902,Urban Collector
5505085,Rural Local
5505086,Rural Local
5505087,Rural Local
5505088,Rural Local
5505093,Urban Local
5505094,Urban Local
5505101,Urban Local
5505102,Urban Local
5505103,Urban Local
5505104,Urban Local
5505119,Urban Local
5505120,Urban Local
5505123,Rural Local
5505124,Rural Local
5505125,Rural Local
5505126,Rural Local
5505127,Rural Local
5505128,Rural Local
5505129,Rural Local
5505130,Rural Local
5505131,Rural Local
5505132,Rural Local
5505133,Rural Local
5505134,Rural Local
5505136,Rural Local
5505137,Rural Local
5505143,Rural Local
5505144,Rural Local
5505145,Rural Local
5505146,Rural Local
5505179,Urban Collector
5505182,Urban Collector
5505183,Urban Collector
5505184,Urban Collector
5505185,Rural Local
5505188,Rural Local
5505189,Rural Local
5505190,Rural Local
5505201,Rural Local
5505202,Rural Local
5505203,Rural Local
5505204,Rural Local
5505209,Rural Local
5505210,Rural Local
5505211,Rural Local
5505212,Rural Local
5505223,Rural Local
5505224,Rural Local
5505225,Rural Local
5505226,Rural Local
5505227,Rural Local
5505228,Rural Local
5508881,Rural Local
5508882,Rural Local
5508883,Urban Local
5508884,Rural Local
5508899,Rural Local
5508900,Rural Local
5508941,Rural Local
5508942,Rural Local
5508959,Rural Local
5508960,Rural Local
5508961,Rural Local
5508962,Rural Local
5508963,Urban Local
5508964,Rural Local
5508965,Urban Local
5508966,Rural Local
5508995,Rural Local
5508996,Rural Local
5509005,Rural Local
5509006,Rural Local
5509007,Urban Collector
5509008,Urban Collector
5509099,Rural Local
5509100,Rural Local
5509101,Rural Local
5509102,Rural Local
5512179,Urban Minor Arterial
5512180,Urban Minor Arterial
5515604,Rural Local
5515605,Rural Local
5515741,Rural Local
5515742,Rural Local
5515743,Rural Local
5515744,Rural Local
5515745,Rural Local
5515746,Rural Local
5515747,Rural Local
5515748,Rural Local
5515770,Rural Local
5516761,Rural Local
5516762,Rural Local
5516763,Rural Local
5516764,Rural Local
5516765,Rural Local
5516766,Rural Local
5516767,Rural Local
5516768,Rural Local
5516779,Rural Local
5516780,Rural Local
5516781,Rural Local
5516782,Rural Local
5516783,Rural Local
5516784,Rural Local
5516785,Rural Local
5516786,Rural Local
5519745,Rural Local
5519746,Rural Local
5519747,Rural Local
5519748,Rural Local
5519749,Rural Local
5519750,Rural Local
5538747,Rural Local
5538762,Urban Local
5538763,Urban Local
5539663,Rural Local
5539664,Rural Local
5539665,Rural Local
5539666,Rural Local
5540637,Rural Local
5540641,Rural Local
5540644,Rural Local
5550981,Rural Local
5559299,Urban Collector
5559300,Urban Collector
5559301,Urban Collector
5559302,Urban Collector
5559529,Urban Collector
5559530,Urban Collector
5559531,Urban Collector
5559532,Urban Collector
5559534,Urban Minor Arterial
5559535,Urban Minor Arterial
5571401,Urban Local
5571402,Urban Local
5571403,Urban Local
5571404,Urban Local
5571405,Urban Local
5571406,Urban Local
5571407,Urban Local
5571408,Urban Local
5571409,Rural Local
5571410,Rural Local
5571433,Urban Local
5571434,Urban Local
5571435,Urban Local
5571436,Urban Local
5571513,Urban Local
5571514,Urban Local
5571515,Urban Local
5571516,Urban Local
5571517,Urban Collector
5571518,Urban Collector
5571519,Urban Collector
5571520,Urban Collector
5571521,Urban Local
5571522,Urban Local
5571523,Urban Collector
5571524,Urban Collector
