WISLR_LINKID,functional_class
4823013,Rural Minor Arterial
4823014,Rural Local
4823609,Urban Local
4823610,Urban Local
4823721,Urban Local
4823729,Urban Local
4823732,Urban Local
4823733,Urban Local
4823739,Rural Local
4823740,Rural Local
4823750,Urban Local
4823763,Rural Minor Arterial
4823838,Rural Local
4823839,Rural Major Collector
4823857,Urban Local
4823917,Urban Local
4823919,Urban Local
4823922,Urban Collector
4824008,Urban Local
4824078,Urban Local
4824079,Urban Local
4824109,Urban Local
4824124,Urban Local
4824125,Urban Local
4824249,Urban Local
4824261,Urban Local
4824262,Urban Local
4824344,Urban Local
4824386,Urban Local
4824390,Urban Local
4824398,Urban Local
4824399,Urban Local
4824400,Urban Local
4824403,Rural Minor Arterial
4824404,Rural Local
4824439,Urban Local
4824440,Urban Local
4824445,Urban Local
4824486,Urban Local
4824487,Urban Local
4824500,Urban Local
4824517,Urban Local
4824518,Urban Local
4824525,Urban Local
4824526,Urban Collector
4824542,Urban Local
4824551,Urban Local
4824608,Urban Local
4824609,Urban Local
4824627,Urban Local
4824675,Urban Local
4824677,Urban Local
4824682,Urban Local
4824723,Urban Local
4824735,Urban Local
4824792,Urban Local
4824863,Rural Local
4824866,Rural Local
4824879,Rural Local
4824882,Urban Local
4824883,Urban Local
4824885,Urban Local
4824906,Rural Local
4824907,Rural Minor Arterial
4824908,Rural Local
4824943,Urban Collector
4824944,Rural Local
4824945,Rural Local
4824977,Rural Local
4824978,Rural Local
4825041,Rural Local
4825049,Rural Local
4825051,Rural Local
4825060,Rural Local
4825071,Rural Local
4825113,Rural Local
4825116,Rural Local
4825159,Rural Local
4825163,Rural Local
4825172,Rural Local
4825190,Rural Local
4825192,Rural Local
4825195,Rural Local
4825296,Rural Local
4825325,Rural Local
4825328,Rural Local
4825493,Rural Local
4825495,Rural Local
4825547,Rural Minor Arterial
4825561,Rural Local
4825649,Rural Minor Arterial
4825650,Rural Local
4825671,Rural Local
4825707,Rural Local
4826251,Rural Local
4827335,Urban Minor Arterial
4827336,Urban Minor Arterial
4827337,Urban Minor Arterial
4827338,Urban Minor Arterial
4827343,Rural Local
4827417,Rural Local
4827418,Rural Local
4827419,Rural Local
4827420,Rural Local
4827421,Rural Local
4827422,Rural Local
4827423,Rural Local
4827424,Rural Local
4827425,Rural Local
4827426,Rural Local
4827427,Rural Major Collector
4827428,Rural Local
4827429,Rural Major Collector
4827430,Rural Local
4827431,Rural Major Collector
4827432,Rural Major Collector
4827433,Rural Local
4827434,Rural Major Collector
4827435,Rural Major Collector
4827436,Rural Local
4827437,Rural Local
4827438,Rural Local
4827439,Rural Local
4827441,Rural Local
4827442,Rural Local
4827443,Rural Local
4827444,Rural Local
4827445,Rural Minor Arterial
4827446,Rural Minor Arterial
4827449,Rural Local
4827453,Rural Local
4827454,Rural Local
4827455,Rural Local
4827456,Rural Local
4827457,Rural Local
4827458,Rural Local
4827459,Rural Local
4827537,Rural Local
4828113,Urban Local
4828114,Urban Local
4828115,Urban Local
4828121,Urban Local
4828122,Urban Local
4828125,Urban Local
4828126,Urban Other Connecting Link Principal Arterial
4828130,Urban Collector
4828131,Urban Collector
4828132,Urban Collector
4828133,Urban Minor Arterial
4828135,Urban Other Connecting Link Principal Arterial
4828136,Urban Local
4828137,Urban Minor Arterial
4828138,Urban Minor Arterial
4828141,Urban Collector
4828145,Urban Local
4828146,Urban Local
4828147,Urban Local
4828148,Urban Local
4828149,Urban Local
4828150,Urban Local
4828151,Urban Collector
4828152,Urban Collector
4828153,Urban Local
4828154,Urban Local
4828155,Urban Local
4828156,Urban Local
4828159,Urban Local
4828160,Urban Local
4828161,Urban Local
4828162,Urban Local
4828163,Urban Local
4828164,Urban Local
4828165,Urban Local
4828166,Urban Local
4828167,Urban Local
4828168,Urban Local
4828169,Urban Local
4829230,Urban Local
4829231,Urban Local
4829333,Urban Collector
4829334,Urban Collector
4829338,Urban Minor Arterial
4829340,Rural Local
4829341,Urban Local
4829342,Urban Local
4829347,Urban Minor Arterial
4829348,Urban Local
4829349,Urban Local
4829350,Urban Local
4829351,Urban Local
4829352,Urban Local
4829353,Urban Local
4829354,Urban Minor Arterial
4829356,Urban Local
4829357,Urban Local
4829358,Urban Local
4829359,Urban Local
4829360,Urban Local
4829364,Urban Local
4829366,Urban Local
4829370,Urban Local
4829371,Urban Local
4829372,Urban Local
4829373,Urban Collector
4829374,Urban Collector
4829375,Urban Local
4829376,Urban Local
4829377,Urban Local
4829378,Urban Local
4829380,Urban Local
4829381,Urban Local
4829382,Urban Local
4829383,Urban Local
4829386,Urban Local
4829387,Urban Local
4829388,Urban Local
4829389,Urban Local
4829392,Urban Local
4829393,Urban Local
4829394,Urban Local
4829395,Urban Local
4829396,Urban Local
4829397,Urban Local
4829404,Rural Local
4829405,Rural Local
