,FROM,TO,test
1420,1663291,1663372,0.26091075792129137
1421,1663374,1663361,0.1003103350992132
1422,1663374,1663344,0.13549026304870027
1423,1663292,1663375,0.06978415760054152
1424,1663372,1663375,0.06447551985402743
1425,1663377,1663372,0.10828956630028697
1426,1663377,1663299,0.06978415760054152
1427,1663383,1663377,0.1003103350992132
1428,1663383,1663301,0.37023324694557574
1429,1663390,1663383,0.25374359914150085
1430,1663314,1663390,0.006818461530069585
1431,1663395,1663390,0.6763827800459564
1432,1663395,1663319,0.06978415760054152
1433,1663390,1663422,0.06978415760054152
1434,1663422,1663395,0.06978415760054152
1435,1663430,1663374,0.033872565762175066
1436,1663361,1663438,0.06978415760054152
1437,1663351,1663439,0.06978415760054152
1438,1663438,1663439,0.06978415760054152
1439,1663372,1663444,0.2935246026614528
1440,1663440,1663352,0.012877678154628721
1441,1663439,1663440,0.06978415760054152
1442,1663446,1663444,0.06978415760054152
1443,1663444,1663450,0.06978415760054152
1444,1663375,1663449,0.06978415760054152
1445,1663449,1663446,0.06978415760054152
1446,1663450,1663452,0.06978415760054152
1447,1663452,1663377,0.06978415760054152
1448,1663455,1663383,0.06978415760054152
1449,1663455,1663422,0.06978415760054152
1450,1663452,1663455,0.06978415760054152
1451,1662365,1663549,0.04085484681475187
1452,1663472,1663449,0.06978415760054152
1453,1663422,1663507,0.06978415760054152
1454,1663507,1663498,0.06978415760054152
1455,1663498,1663510,0.06978415760054152
1456,1663492,1663355,0.06978415760054152
1457,1663508,1663430,0.006818461530069585
1458,1663375,1663508,0.09024130525023914
1459,1663515,1663438,0.06978415760054152
1460,1663515,1663430,0.018048261050047826
1461,1663553,1663508,0.06978415760054152
1462,1663553,1663472,0.06978415760054152
1463,1663498,1663563,0.43213344280713883
1464,1663570,1663440,0.03757682111366425
1465,1663449,1663578,0.06978415760054152
1466,1663472,1663577,0.06978415760054152
1467,1663577,1663578,0.06978415760054152
1468,1663578,1663579,0.06978415760054152
1469,1663579,1663446,0.06978415760054152
1470,1663579,1663581,0.06978415760054152
1471,1663444,1663581,0.1467623013307264
1472,1663581,1663584,0.06978415760054152
1473,1663584,1663587,0.06978415760054152
1474,1663587,1663590,0.06978415760054152
1475,1663507,1663601,0.06978415760054152
1476,1663590,1663601,0.06978415760054152
1477,1663603,1663553,0.06978415760054152
1478,1663603,1663577,0.06978415760054152
1479,1663611,1663489,0.06978415760054152
1480,1663647,1663603,0.06978415760054152
1481,1663581,1663652,0.02794213184494911
1482,1663665,1663510,0.006818461530069585
1483,1663663,1663603,0.06978415760054152
1484,1663640,1663663,0.06978415760054152
1485,1663661,1663515,0.009024130525023913
1486,1663601,1663668,0.06978415760054152
1487,1663678,1663665,0.06978415760054152
1488,1663578,1663675,0.06978415760054152
1489,1663652,1663675,0.06978415760054152
1490,1663508,1663688,0.05887241660476886
1491,1663739,1663569,0.022080319369739365
1492,1663722,1663688,0.43213344280713883
1493,1663722,1663553,0.06978415760054152
1494,1663729,1663665,0.150307284454657
1495,1663737,1663663,0.06978415760054152
1496,1663675,1663737,0.06978415760054152
1497,1663759,1663729,0.06978415760054152
1498,1663745,1663722,0.06978415760054152
1499,1663745,1663647,0.06978415760054152
1500,1663762,1663721,0.06978415760054152
1501,1663741,1663777,0.06978415760054152
1502,1663685,1663777,0.06978415760054152
1503,1663647,1663793,0.06978415760054152
1504,1663737,1663793,0.06978415760054152
1505,1663794,1663836,0.022080319369739365
1506,1663739,1663836,0.022080319369739365
1507,1663815,1663745,0.06978415760054152
1508,1663652,1663818,0.005095410932790129
1509,1663777,1663830,0.06978415760054152
1510,1663830,1663762,0.06978415760054152
1511,1663736,1663823,0.06978415760054152
1512,1663793,1663837,0.06978415760054152
1513,1663851,1663729,0.04512065262511957
1514,1663823,1663843,0.06978415760054152
1515,1663688,1663843,0.006818461530069585
1516,15377,1663851,0.3387256576217507
1517,1663844,1663850,0.06978415760054152
1518,1663850,1663755,0.06978415760054152
1519,1663837,1663815,0.06978415760054152
1520,1663836,1663888,0.022080319369739365
1521,1663861,15378,0.3767707282299989
1522,1663843,1663722,0.06978415760054152
1523,1663862,1663861,0.3587522921417756
1524,1663850,1663863,0.06978415760054152
1525,1663863,1663866,0.06978415760054152
1526,1663866,1663830,0.06978415760054152
1527,1663366,1663921,0.022080319369739365
1528,1663876,1663745,0.06978415760054152
1529,1663873,1663570,0.024292196955927447
1530,1663836,1663860,0.022080319369739365
1531,1663843,1663903,0.006818461530069585
1532,1663919,1663851,0.12877678154628722
1533,1663916,1663844,0.3246120885541778
1534,1663943,10698,0.006818461530069585
1535,1663938,1663943,0.022080319369739365
1536,1663992,1663549,0.022080319369739365
1537,1663949,1663916,0.06978415760054152
1538,1663926,1663949,0.06978415760054152
1539,1663819,1663972,0.06978415760054152
1540,1663972,1663919,0.006818461530069585
