,FROM,TO,test2
93,1662117,1662119,22.12157795937166
94,1662066,1661965,58.96761317245758
95,1662113,1661993,55.26905281962888
96,1661940,1662068,125.26256289297203
97,1662129,1662039,33.14747486025722
98,1662119,1662129,22.12157795937166
99,1662129,1662138,25.820138312200363
100,1662141,1662091,18.42301760654296
101,1662141,1662113,14.724457253714261
102,1662149,1662070,136.986301369863
103,1662138,1662149,22.12157795937166
104,1662147,1662113,25.820138312200363
105,1662008,1662088,29.448914507428523
106,1662088,1662090,25.820138312200363
107,1662154,1662075,29.448914507428523
108,1662149,1662154,22.12157795937166
109,1662085,1662042,22.12157795937166
110,1662176,1661793,59.756649659950455
111,1661969,1662085,99.51220873837221
112,1662121,10503,136.986301369863
113,1661949,1662145,77.39063077900055
114,1662164,1662132,25.820138312200363
115,1662154,1662164,11.02589690088556
116,1662161,1662098,22.12157795937166
117,1662093,1662165,1.8853020451323477
118,1662161,1662165,29.448914507428523
119,1662178,1662118,22.12157795937166
120,1662179,1662117,22.12157795937166
121,1662179,1662178,136.986301369863
122,1662181,1662119,22.12157795937166
123,1662181,1662179,136.986301369863
124,1662183,1662129,22.12157795937166
125,1662183,1662181,22.12157795937166
126,1662148,1662088,18.42301760654296
127,1662138,1662192,22.12157795937166
128,1662192,1662183,136.986301369863
129,1662085,1662139,22.12157795937166
130,1662201,1662149,22.12157795937166
131,1662068,1662185,84.71796732705741
132,1662187,1662062,47.87193211397148
133,1662185,1662187,40.54459556591462
134,1662206,1662181,14.724457253714261
135,1662209,1662154,136.986301369863
136,1662208,1662132,47.87193211397148
137,1662139,1662166,18.42301760654296
138,1662044,1662166,47.87193211397148
139,1662225,1662164,22.12157795937166
140,1662186,1662090,33.14747486025722
141,1662191,1662186,22.12157795937166
142,1662239,1662208,18.42301760654296
143,1662164,1662239,136.986301369863
144,1662244,1662161,66.29494972051444
145,1662251,1662239,11.02589690088556
146,1662165,1662252,3.4954518998940283
147,1662252,1662161,40.54459556591462
148,1662224,1662186,14.724457253714261
149,1662090,1662224,55.26905281962888
150,1662220,1662217,62.66617352528628
151,1662166,1662220,22.12157795937166
152,1662187,1662270,58.96761317245758
153,1662270,1662246,36.84603521308592
154,10503,1662309,5.400221531815111
155,1662185,1662281,44.24315591874332
156,1661833,1662337,59.46230006270811
157,1662337,1662176,27.532059270864593
158,1662320,1662309,3.961526148970429
159,1662227,1662254,18.42301760654296
160,1662224,1662254,40.54459556591462
161,1662259,1662224,22.12157795937166
162,1662230,1662259,29.448914507428523
163,1662281,1662313,18.42301760654296
164,1662314,1662305,25.820138312200363
165,1662314,1662241,25.820138312200363
166,1662351,1662320,7.200295375753482
167,1661743,1662385,150.38905522729482
168,1662365,1662337,34.24657534246575
169,1662291,1662276,25.820138312200363
170,1662242,1662291,18.42301760654296
171,1662293,1662291,25.820138312200363
172,1662238,1662293,22.12157795937166
173,1662254,1662293,44.24315591874332
174,1662353,1662244,136.98630136986304
175,1662324,1662314,136.986301369863
176,1662281,1662324,14.724457253714261
177,1662343,1662187,58.96761317245758
178,1662343,1662270,44.24315591874332
179,1662362,1662351,4.322904610064117
180,1662230,1662308,29.448914507428523
181,1662217,1662303,1.1201786446037485
182,1662349,10523,28.58844550327576
183,10523,1662358,33.353186420488385
184,1662382,1662381,20.67717756526234
185,1662386,1662382,10.33858878263117
186,1662388,1662386,10.33858878263117
187,1662290,1662407,62.03153269578702
188,1662409,1662343,136.986301369863
189,1662409,1662411,4.575679017645536
190,1662324,1662410,25.820138312200363
191,1662411,1662410,1.345188486256594
192,1662406,1662342,136.986301369863
193,1662406,1662404,1.0751317068187172
194,1662404,1662403,4.575679017645536
195,1662430,1662362,11.877759985381218
196,1662358,1662394,14.294222751637879
197,1662303,1662416,52.412150089338894
198,1662416,1662220,136.986301369863
199,1662482,1662252,47.647409172126274
200,1662459,1662388,29.448914507428523
201,1662459,1662466,14.724457253714261
202,1662358,1662453,33.14747486025722
203,1662416,1662439,14.29422275163788
204,1662429,1662440,18.42301760654296
205,1662457,1662453,25.820138312200363
206,1662399,1662465,25.820138312200363
207,1662394,1662465,9.529481834425255
208,1662439,1662460,4.7647409172126265
209,1662460,1662437,18.42301760654296
210,1662503,1662459,22.12157795937166
211,1662503,1662427,58.96761317245758
212,1662528,1662513,11.02589690088556
213,1662440,1662486,36.84603521308592
214,1662465,1662506,22.12157795937166
215,1662457,1662506,40.54459556591462
216,1662351,1662555,81.08919113182924
217,1662465,1662509,57.17689100655152
218,1662510,1662514,958.9041095890411
219,1662349,1662514,23.823704586063133
220,1662512,1662457,25.820138312200363
221,1662362,1662565,136.986301369863
222,1662555,1662565,29.448914507428523
223,1662382,1662534,69.99351007334315
224,1662534,1662432,44.24315591874332
225,1662556,1662503,22.12157795937166
226,1662320,1662602,106.83954528642907
227,1662411,1662574,22.146560327848583
228,1662602,1662615,18.42301760654296
229,1662635,1662606,14.724457253714261
230,1662602,1662635,7.397120705657401
231,1662506,1662563,33.14747486025722
232,1662536,1662569,136.986301369863
233,1662589,1662521,22.12157795937166
234,1662563,1662589,22.12157795937166
235,1662589,1662596,18.42301760654296
236,1662453,1662596,136.986301369863
237,1662439,1662582,81.08919113182924
238,1662407,1662409,210.05031437762997
239,1662555,1662682,40.54459556591462
240,1662653,1662556,25.820138312200363
241,1662604,1662591,14.724457253714261
242,1662569,1662604,136.986301369863
243,1662563,1662625,55.26905281962888
244,1662582,1662631,18.42301760654296
245,1662635,1662699,25.820138312200363
246,1662556,1662672,62.66617352528628
