,FROM,TO,TIME
420,1663446,1663449,16.88
421,1663452,1663450,14.8
422,1663377,1663452,9.25
423,1663383,1663455,9.25
424,1663422,1663455,36.976470588235294
425,1663455,1663452,11.875
426,1663549,1662365,223.53333333333333
427,1663449,1663472,10.55
428,1663507,1663422,6.6
429,1663498,1663507,7.925
430,1663510,1663498,48.56
431,1663355,1663492,17.15
432,1663430,1663508,10.55
433,1663508,1663375,33.0
434,1663438,1663515,16.88
435,1663430,1663515,19.2
436,1663508,1663553,14.8
437,1663472,1663553,13.2
438,1663563,1663498,7.925
439,1663440,1663570,15.85
440,1663578,1663449,15.85
441,1663577,1663472,13.2
442,1663578,1663577,12.68
443,1663579,1663578,7.925
444,1663446,1663579,15.85
445,1663581,1663579,9.25
446,1663581,1663444,15.85
447,1663584,1663581,35.92
448,1663587,1663584,5.275
449,1663590,1663587,27.44
450,1663601,1663507,19.0
451,1663601,1663590,19.8
452,1663553,1663603,7.925
453,1663577,1663603,7.925
454,1663489,1663611,21.125
455,1663603,1663647,7.925
456,1663652,1663581,9.25
457,1663510,1663665,31.68
458,1663603,1663663,9.25
459,1663663,1663640,3.95
460,1663515,1663661,35.2
461,1663668,1663601,7.925
462,1663665,1663678,3.95
463,1663675,1663578,18.475
464,1663675,1663652,5.275
465,1663688,1663508,30.35
466,1663569,1663739,29.05
467,1663688,1663722,7.925
468,1663553,1663722,26.4
469,1663665,1663729,7.925
470,1663663,1663737,23.24
471,1663737,1663675,23.24
472,1663729,1663759,7.925
473,1663722,1663745,9.25
474,1663647,1663745,17.15
475,1663721,1663762,10.55
476,1663777,1663741,9.25
477,1663777,1663685,10.55
478,1663793,1663647,22.45
479,1663793,1663737,7.925
480,1663836,1663794,10.566666666666666
481,1663836,1663739,40.46666666666667
482,1663745,1663815,10.55
483,1663818,1663652,28.8
484,1663830,1663777,16.88
485,1663762,1663830,11.875
486,1663823,1663736,6.6
487,1663837,1663793,9.25
488,1663729,1663851,13.2
489,1663843,1663823,5.275
490,1663843,1663688,18.475
491,1663851,15377,5.275
