RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,RDWY_LINK_RSLN
4819646,1662349,1662514,950,52.7999992
4819650,1662512,1662457,370,52.7999992
4819652,1662362,1662565,1109,52.7999992
4819653,1662555,1662565,422,52.7999992
4819655,1662382,1662534,1003,52.7999992
4819656,1662534,1662432,634,52.7999992
4819658,1662521,1662512,53,52.7999992
4819659,1662512,1662521,211,52.7999992
4819674,1662556,1662503,317,52.7999992
4819675,1662320,1662602,1531,52.7999992
4819677,1662411,1662574,1003,52.7999992
4819690,1662602,1662615,264,52.7999992
4819691,1662635,1662606,211,52.7999992
4819692,1662602,1662635,106,52.7999992
4819694,1662506,1662563,475,52.7999992
4819698,1662536,1662569,211,52.7999992
4819707,1662589,1662521,317,52.7999992
4819712,1662563,1662589,317,52.7999992
4819713,1662589,1662596,264,52.7999992
4819714,1662453,1662596,845,52.7999992
4819723,1662439,1662582,1162,52.7999992
4819724,1662407,1662409,3010,52.7999992
4819725,1662555,1662682,581,52.7999992
4819730,1662653,1662556,370,52.7999992
4819742,1662604,1662591,211,52.7999992
4819743,1662569,1662604,158,52.7999992
4819744,1662563,1662625,792,52.7999992
4819745,1662582,1662631,264,52.7999992
4819747,1662635,1662699,370,52.7999992
4819748,1662556,1662672,898,52.7999992
4819750,1662699,1662722,317,52.7999992
4819751,1662699,1662722,106,52.7999992
4819754,1662707,1662674,211,52.7999992
4819757,1662710,1662709,211,52.7999992
4819758,1662707,1662710,370,52.7999992
4819762,1662713,1662707,634,52.7999992
4819764,1662653,1662691,422,52.7999992
4819767,1662679,1662589,317,52.7999992
4819775,1662534,1662701,792,52.7999992
4819776,1662604,1662681,264,52.7999992
4819798,1662565,1662736,792,52.7999992
4819799,1662701,1662696,317,52.7999992
4819816,1662625,1662694,317,52.7999992
4819817,1662694,1662679,1003,52.7999992
4819821,1662721,1662653,422,52.7999992
4819823,1662698,1662694,158,52.7999992
4819837,1662509,1662715,1320,52.7999992
4819841,1662701,1662734,264,52.7999992
4819850,1662596,1662731,634,52.7999992
4819851,1662679,1662732,317,52.7999992
4819852,1662731,1662732,317,52.7999992
4819855,1662735,1662731,317,52.7999992
4819856,1662453,1662735,1690,52.7999992
4819857,1662725,1662728,211,52.7999992
4819858,1662681,1662728,317,52.7999992
4819864,1662750,1662735,686,52.7999992
4819865,1662728,1662738,422,52.7999992
4819866,1662681,1662738,634,52.7999992
4819868,1662764,1662721,317,52.7999992
4819869,1662752,1662715,317,52.7999992
4819871,1662514,1662755,1109,52.7999992
4819872,1662694,1662753,264,52.7999992
4819873,1662732,1662753,1056,52.7999992
4819874,1662738,1662749,211,52.7999992
