RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,LOC_FLKOS_FT,LOC_TLKOS_FT,ST_PRMY_SYMB_TY,FNCT_CLS_CTGY_TYCD,FNCT_CLS_CTGY_TYDC
4819405,1662068,1662185,1214,0,370,,97,Urban Local
4819405,1662068,1662185,1214,370,1214,,97,Urban Local
4819406,1662187,1662062,686,0,686,,97,Urban Local
4819407,1662185,1662187,581,0,581,,97,Urban Local
4819408,1662206,1662181,211,0,211,,97,Urban Local
4819410,1662209,1662154,264,0,264,,97,Urban Local
4819412,1662208,1662132,686,0,686,,97,Urban Local
4819421,1662139,1662166,264,0,264,,97,Urban Local
4819422,1662044,1662166,686,0,686,,97,Urban Local
4819426,1662225,1662164,317,0,317,,97,Urban Local
4819431,1662186,1662090,475,0,475,,97,Urban Local
4819434,1662191,1662186,317,0,317,,97,Urban Local
4819437,1662239,1662208,264,0,264,,97,Urban Local
4819438,1662164,1662239,634,0,634,,97,Urban Local
4819440,1662244,1662161,950,0,950,,97,Urban Local
4819441,1662251,1662239,158,0,158,,97,Urban Local
4819446,1662165,1662252,686,0,686,,86,Urban Minor Arterial
4819447,1662252,1662161,581,0,581,,97,Urban Local
4819449,1662224,1662186,211,0,211,,97,Urban Local
4819450,1662090,1662224,792,0,264,,97,Urban Local
4819450,1662090,1662224,792,264,792,,97,Urban Local
4819452,1662220,1662217,898,0,898,,97,Urban Local
4819453,1662166,1662220,317,0,317,,97,Urban Local
4819456,1662187,1662270,845,0,845,,97,Urban Local
4819457,1662270,1662246,528,0,528,,97,Urban Local
4819458,10503,1662309,792,0,370,CTH,96,Urban Collector
4819458,10503,1662309,792,370,792,CTH,96,Urban Collector
4819461,1662185,1662281,634,0,634,,97,Urban Local
4819462,1661833,1662337,2693,0,264,,45,Rural Local
4819462,1661833,1662337,2693,264,2693,,45,Rural Local
4819463,1662337,1662176,2165,0,2165,CTH,30,Rural Major Collector
4819464,1662320,1662309,581,0,581,,96,Urban Collector
4819465,1662227,1662254,264,0,264,,97,Urban Local
4819466,1662224,1662254,581,0,581,,97,Urban Local
4819467,1662259,1662224,317,0,317,,97,Urban Local
4819468,1662230,1662259,422,0,422,,97,Urban Local
4819475,1662281,1662313,264,0,264,,97,Urban Local
4819476,1662314,1662305,370,0,370,,97,Urban Local
4819477,1662314,1662241,370,0,370,,97,Urban Local
4819478,1662351,1662320,1056,0,739,,96,Urban Collector
4819478,1662351,1662320,1056,739,1056,,96,Urban Collector
4819480,1661743,1662385,6811,0,1214,,45,Rural Local
4819480,1661743,1662385,6811,1214,3485,,45,Rural Local
4819480,1661743,1662385,6811,3485,6811,,45,Rural Local
4819482,1662365,1662337,2693,0,264,CTH,30,Rural Major Collector
4819482,1662365,1662337,2693,264,2693,CTH,30,Rural Major Collector
4819483,1662291,1662276,370,0,370,,97,Urban Local
4819484,1662242,1662291,264,0,264,,97,Urban Local
4819485,1662293,1662291,370,0,370,,97,Urban Local
4819486,1662238,1662293,317,0,317,,97,Urban Local
4819487,1662254,1662293,634,0,634,,97,Urban Local
4819488,1662353,1662244,792,0,686,,97,Urban Local
4819488,1662353,1662244,792,686,792,,97,Urban Local
4819489,1662324,1662314,422,0,422,,97,Urban Local
4819490,1662281,1662324,211,0,211,,97,Urban Local
4819495,1662343,1662187,845,0,845,,97,Urban Local
4819496,1662343,1662270,634,0,634,,97,Urban Local
4819497,1662362,1662351,634,0,634,,96,Urban Collector
4819502,1662230,1662308,422,0,422,,97,Urban Local
4819507,1662217,1662303,422,0,422,CTH,60,Urban Other Connecting Link Principal Arterial
4819515,1662349,10523,1267,0,1267,CTH,60,Urban Other Connecting Link Principal Arterial
4819519,10523,1662358,792,0,792,CTH,60,Urban Other Connecting Link Principal Arterial
4819523,1662382,1662381,1214,0,158,,86,Urban Minor Arterial
4819523,1662382,1662381,1214,158,686,,86,Urban Minor Arterial
4819523,1662382,1662381,1214,686,1214,,86,Urban Minor Arterial
4819524,1662386,1662382,1426,0,370,,86,Urban Minor Arterial
4819524,1662386,1662382,1426,370,634,,86,Urban Minor Arterial
4819524,1662386,1662382,1426,634,898,,86,Urban Minor Arterial
4819524,1662386,1662382,1426,898,1426,,86,Urban Minor Arterial
4819527,1662388,1662386,475,0,475,,86,Urban Minor Arterial
4819528,1662290,1662407,1954,0,1373,,86,Urban Minor Arterial
4819528,1662290,1662407,1954,1373,1954,,86,Urban Minor Arterial
4819529,1662409,1662343,370,0,370,,97,Urban Local
4819530,1662407,1662409,634,0,634,,86,Urban Minor Arterial
4819532,1662409,1662411,898,0,634,,86,Urban Minor Arterial
4819532,1662409,1662411,898,634,898,,86,Urban Minor Arterial
4819533,1662324,1662410,370,0,370,,97,Urban Local
4819534,1662411,1662410,264,0,264,,86,Urban Minor Arterial
4819535,1662406,1662342,370,0,370,,97,Urban Local
4819536,1662406,1662404,211,0,211,,86,Urban Minor Arterial
4819537,1662404,1662403,898,0,898,,86,Urban Minor Arterial
4819540,1662430,1662362,1742,0,528,,96,Urban Collector
4819540,1662430,1662362,1742,528,1214,,96,Urban Collector
4819540,1662430,1662362,1742,1214,1742,,96,Urban Collector
4819544,1662358,1662394,422,0,422,CTH,60,Urban Other Connecting Link Principal Arterial
4819565,1662303,1662416,950,0,950,CTH,60,Urban Other Connecting Link Principal Arterial
4819566,1662416,1662220,950,0,950,,97,Urban Local
4819572,1662482,1662252,1162,0,1162,,96,Urban Collector
4819575,1662459,1662388,422,0,422,,97,Urban Local
4819580,1662459,1662466,211,0,211,,97,Urban Local
4819581,1662358,1662453,475,0,475,,97,Urban Local
4819586,1662416,1662439,317,0,317,CTH,60,Urban Other Connecting Link Principal Arterial
4819587,1662429,1662440,264,0,264,,97,Urban Local
4819588,1662457,1662453,370,0,370,,97,Urban Local
4819598,1662399,1662465,370,0,370,,97,Urban Local
4819599,1662394,1662465,739,0,739,CTH,60,Urban Other Connecting Link Principal Arterial
4819602,1662439,1662460,158,0,158,CTH,60,Urban Other Connecting Link Principal Arterial
4819603,1662460,1662437,264,0,264,,97,Urban Local
4819610,1662503,1662459,317,0,317,,97,Urban Local
4819611,1662503,1662427,845,0,845,,97,Urban Local
4819612,1662528,1662513,158,0,140,,97,Urban Local
4819612,1662528,1662513,158,140,158,,97,Urban Local
